Name,Age,Saison
Fernandinho,30,2014-2015
George Evans,20,2014-2015
George Glendon,20,2014-2015
James Milner,29,2014-2015
Jesús Navas,29,2014-2015
David Silva,29,2014-2015
Bersant Celina,18,2014-2015
Frank Lampard,37,2014-2015
Bruno Zuculini,22,2014-2015
Yaya Touré,32,2014-2015
Samir Nasri,28,2014-2015
Brandon Barker,18,2014-2015
Wilfried Bony,26,2014-2015
Sinan Bytyqi,20,2014-2015
Scott Sinclair,26,2014-2015
Edin Dzeko,29,2014-2015
Sergio Agüero,27,2014-2015
Stevan Jovetic,25,2014-2015
Thierry Ambrose,18,2014-2015
José Ángel Pozo,19,2014-2015
Khaldoon Al Mubarak,39,2014-2015
Richard Wright,38,2015-2016
Joe Hart,29,2015-2016
Willy Caballero,34,2015-2016
Pablo Maffeo,18,2015-2016
Angeliño Tasende,19,2015-2016
Ellis Plummer,21,2015-2016
Bacary Sagna,33,2015-2016
Pablo Zabaleta,31,2015-2016
Vincent Kompany,30,2015-2016
Eliaquim Mangala,25,2015-2016
Martín Demichelis,35,2015-2016
Jason Denayer,21,2015-2016
Nicolás Otamendi,28,2015-2016
Tosin Adarabioyo,18,2015-2016
Cameron Humphreys,17,2015-2016
Aleksandar Kolarov,30,2015-2016
Gaël Clichy,30,2015-2016
Bruno Zuculini,23,2015-2016
James Horsfield,20,2015-2016
Brandon Barker,19,2015-2016
Fernando,28,2015-2016
Fernandinho,31,2015-2016
George Evans,21,2015-2016
George Glendon,21,2015-2016
Seko Fofana,21,2015-2016
Olivier Ntcham,20,2015-2016
Kevin De Bruyne,25,2015-2016
David Silva,30,2015-2016
Bersant Celina,19,2015-2016
Manu García,18,2015-2016
Fabian Delph,26,2015-2016
Yaya Touré,33,2015-2016
Aleix García,19,2015-2016
José Ángel Pozo,20,2015-2016
Jesús Navas,30,2015-2016
Patrick Roberts,19,2015-2016
Sergio Agüero,28,2015-2016
Wilfried Bony,27,2015-2016
David Faupala,19,2015-2016
Kelechi Iheanacho,19,2015-2016
Enes Unal,19,2015-2016
Raheem Sterling,21,2015-2016
Samir Nasri,29,2015-2016
Khaldoon Al Mubarak,40,2015-2016
Joe Hart,30,2016-2017
Claudio Bravo,34,2016-2017
Willy Caballero,35,2016-2017
Angus Gunn,21,2016-2017
Billy O´Brien,21,2016-2017
Pablo Maffeo,19,2016-2017
Cameron Humphreys,18,2016-2017
Bacary Sagna,34,2016-2017
Pablo Zabaleta,32,2016-2017
Vincent Kompany,31,2016-2017
John Stones,23,2016-2017
Jason Denayer,22,2016-2017
Nicolás Otamendi,29,2016-2017
Tosin Adarabioyo,19,2016-2017
Aleksandar Kolarov,31,2016-2017
Gaël Clichy,31,2016-2017
Angeliño Tasende,20,2016-2017
James Horsfield,21,2016-2017
Brandon Barker,20,2016-2017
Aleix García,20,2016-2017
Manu García,19,2016-2017
Phil Foden,17,2016-2017
Fernando,29,2016-2017
Fernandinho,32,2016-2017
Kevin De Bruyne,26,2016-2017
David Silva,31,2016-2017
Oleksandr Zinchenko,20,2016-2017
Brahim Díaz,17,2016-2017
Bersant Celina,20,2016-2017
Ilkay Gundogan,26,2016-2017
Fabian Delph,27,2016-2017
Bruno Zuculini,24,2016-2017
Yaya Touré,34,2016-2017
Raheem Sterling,22,2016-2017
Jesús Navas,31,2016-2017
Sergio Agüero,29,2016-2017
Gabriel Jesus,20,2016-2017
Kelechi Iheanacho,20,2016-2017
Samir Nasri,30,2016-2017
Nolito,30,2016-2017
Leroy Sané,21,2016-2017
Claudio Bravo,35,2017-2018
Ederson Moraes,24,2017-2018
Daniel Grimshaw,20,2017-2018
Arijanet Muric,19,2017-2018
Jason Denayer,23,2017-2018
Joel Latibeaudiere,18,2017-2018
Tyreke Wilson,18,2017-2018
Kyle Walker,28,2017-2018
Danilo,26,2017-2018
Demeaco Duhaney,19,2017-2018
Vincent Kompany,32,2017-2018
John Stones,24,2017-2018
Aymeric Laporte,24,2017-2018
Eliaquim Mangala,27,2017-2018
Tosin Adarabioyo,20,2017-2018
Nicolás Otamendi,30,2017-2018
Fabian Delph,28,2017-2018
Benjamin Mendy,23,2017-2018
Oleksandr Zinchenko,21,2017-2018
Tom Dele-Bashiru,18,2017-2018
Fernandinho,33,2017-2018
Yaya Touré,35,2017-2018
Kevin De Bruyne,27,2017-2018
David Silva,32,2017-2018
Brahim Díaz,18,2017-2018
Ilkay Gundogan,27,2017-2018
Phil Foden,18,2017-2018
Raheem Sterling,23,2017-2018
Bernardo Silva,23,2017-2018
Sergio Agüero,30,2017-2018
Gabriel Jesus,21,2017-2018
Lukas Nmecha,19,2017-2018
Leroy Sané,22,2017-2018
Jadon Sancho,18,2017-2018
Claudio Bravo,36,2018-2019
Ederson Moraes,25,2018-2019
Daniel Grimshaw,21,2018-2019
Arijanet Muric,20,2018-2019
Cameron Humphreys,20,2018-2019
Kyle Walker,29,2018-2019
Danilo,27,2018-2019
Vincent Kompany,33,2018-2019
John Stones,25,2018-2019
Aymeric Laporte,25,2018-2019
Nicolás Otamendi,31,2018-2019
Philippe Sandler,22,2018-2019
Eric García,18,2018-2019
Benjamin Mendy,24,2018-2019
Tyreke Wilson,19,2018-2019
Nathanael Ogbeta,18,2018-2019
Oleksandr Zinchenko,22,2018-2019
Fernandinho,34,2018-2019
Iker Pozo,18,2018-2019
Tom Dele-Bashiru,19,2018-2019
Claudio Gomes,18,2018-2019
Kevin De Bruyne,28,2018-2019
David Silva,33,2018-2019
Felix Nmecha,18,2018-2019
Adrián Bernabé,18,2018-2019
Ilkay Gundogan,28,2018-2019
Fabian Delph,29,2018-2019
Phil Foden,19,2018-2019
Taylor Richards,18,2018-2019
Benjamin Garré,18,2018-2019
Jack Harrison,22,2018-2019
Brahim Díaz,19,2018-2019
Bernardo Silva,24,2018-2019
Riyad Mahrez,28,2018-2019
Patrick Roberts,22,2018-2019
Luke Bolton,19,2018-2019
Ian Poveda,19,2018-2019
Sergio Agüero,31,2018-2019
Gabriel Jesus,22,2018-2019
Nabil Touaizi,18,2018-2019
Raheem Sterling,24,2018-2019
Leroy Sané,23,2018-2019
Claudio Bravo,37,2019-2020
Ederson Moraes,26,2019-2020
Daniel Grimshaw,22,2019-2020
Scott Carson,34,2019-2020
Gavin Bazunu,18,2019-2020
Harwood-Bellis,18,2019-2020
Kyle Walker,30,2019-2020
João Cancelo,26,2019-2020
Alpha Dionkou,18,2019-2020
John Stones,26,2019-2020
Aymeric Laporte,26,2019-2020
Nicolás Otamendi,32,2019-2020
Eric García,19,2019-2020
Oleksandr Zinchenko,23,2019-2020
Angeliño Tasende,23,2019-2020
Benjamin Mendy,26,2019-2020
Iker Pozo,19,2019-2020
Aleix García,23,2019-2020
Cole Palmer,18,2019-2020
Rodri Hernández,24,2019-2020
Fernandinho,35,2019-2020
Kevin De Bruyne,29,2019-2020
Bernardo Silva,25,2019-2020
David Silva,34,2019-2020
Adrián Bernabé,19,2019-2020
Ilkay Gundogan,29,2019-2020
Tommy Doyle,18,2019-2020
Luke Bolton,20,2019-2020
Ian Poveda,20,2019-2020
Ben Knight,18,2019-2020
Riyad Mahrez,29,2019-2020
Phil Foden,20,2019-2020
Gabriel Jesus,23,2019-2020
Sergio Agüero,32,2019-2020
Nabil Touaizi,19,2019-2020
Raheem Sterling,25,2019-2020
Leroy Sané,24,2019-2020
Edwin van der Sar,40,2010-2011
Tomasz Kuszczak,29,2010-2011
Anders Lindegaard,27,2010-2011
Ben Amos,21,2010-2011
Gary Neville,36,2010-2011
Oliver Gill,20,2010-2011
Patrice Evra,30,2010-2011
Rio Ferdinand,32,2010-2011
Wes Brown,31,2010-2011
Chris Smalling,21,2010-2011
Nemanja Vidic,29,2010-2011
Fábio,20,2010-2011
Rafael,20,2010-2011
John OShea,30,2010-2011
Jonny Evans,23,2010-2011
Ritchie De Laet,22,2010-2011
Joe Dudgeon,20,2010-2011
Ryan Tunnicliffe,18,2010-2011
Owen Hargreaves,30,2010-2011
Anderson,23,2010-2011
Ryan Giggs,37,2010-2011
Park Ji-sung,30,2010-2011
Michael Carrick,29,2010-2011
Paul Scholes,36,2010-2011
Darren Fletcher,27,2010-2011
Antonio Valencia,25,2010-2011
Darron Gibson,23,2010-2011
