,name,Matchs manqués
9,Danny Welbeck,41
6,Rob Holding,40
10,Héctor Bellerín,39
1,Emile Smith Rowe,29
19,Konstantinos Mavropanos,28
17,Ainsley Maitland-Niles,17
26,Nacho Monreal,16
22,Denis Suárez,15
11,Henrikh Mkhitaryan,14
12,Sead Kolasinac,14
25,Mesut Özil,14
14,Carl Jenkinson,11
3,Sokratis Papastathopoulos,9
2,Takuma Asano,9
18,Granit Xhaka,9
23,Pierre-Emerick Aubameyang,8
21,Shkodran Mustafi,8
4,Aaron Ramsey,7
27,Petr Cech,5
28,Stephan Lichtsteiner,5
16,Mohamed Elneny,4
24,Laurent Koscielny,4
5,Calum Chambers,4
20,Lucas Torreira,3
15,David Ospina,3
13,Reiss Nelson,3
7,Alex Iwobi,2
0,Alexandre Lacazette,2
8,Bernd Leno,0
